Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
56,Thursday Jun 3,boxscore,BOS,@,HOU,W,5,1,,33-23,2,2.0,Perez,Odorizzi,,3:07,D,24853,1.31,+,
57,Friday Jun 4,boxscore,BOS,@,NYY,W,5,2,,34-23,2,1.0,Eovaldi,King,Barnes,2:49,N,18040,1.46,++,
58,Saturday Jun 5,boxscore,BOS,@,NYY,W,7,3,,35-23,2,1.0,Whitlock,Green,Barnes,3:14,N,20019,1.54,+++,
59,Sunday Jun 6,boxscore,BOS,@,NYY,W,6,5,10,36-23,2,1.0,Barnes,Cessa,Valdez,3:49,N,19103,1.45,++++,
60,Monday Jun 7,boxscore,BOS,,MIA,W,5,3,,37-23,2,0.5,Sawamura,Thompson,Ottavino,3:38,N,25374,1.28,+++++,
61,Tuesday Jun 8,boxscore,BOS,,HOU,L,1,7,,37-24,2,1.5,Valdez,Perez,,3:28,N,23604,1.30,-,
62,Wednesday Jun 9,boxscore,BOS,,HOU,L,3,8,,37-25,2,1.5,Odorizzi,Eovaldi,Javier,3:07,N,21007,1.36,--,
63,Thursday Jun 10,boxscore,BOS,,HOU,W,12,8,,38-25,2,1.0,Hernandez,Taylor,,3:47,N,23378,1.41,+,
64,Friday Jun 11,boxscore,BOS,,TOR,W-wo,6,5,,39-25,2,1.0,Whitlock,Dolis,,3:31,N,25257,1.49,++,
65,Saturday Jun 12,boxscore,BOS,,TOR,L,2,7,,39-26,2,2.0,Matz,Pivetta,,3:09,D,24024,1.52,-,
66,Sunday Jun 13,boxscore,BOS,,TOR,L,4,18,,39-27,2,3.0,Ray,Perez,,2:54,D,22595,1.50,--,
67,Monday Jun 14,boxscore,BOS,,TOR,W-wo,2,1,,40-27,2,3.0,Barnes,Dolis,,2:42,N,20070,1.47,+,
68,Tuesday Jun 15,boxscore,BOS,@,ATL,W,10,8,,41-27,2,2.0,Sawamura,Martin,Barnes,3:32,N,36638,1.29,++,
69,Wednesday Jun 16,boxscore,BOS,@,ATL,W,10,8,,42-27,2,1.0,Rios,Greene,Ottavino,4:10,N,39847,1.32,+++,
70,Friday Jun 18,boxscore,BOS,@,KCR,L,3,5,,42-28,2,0.5,Bubic,Pivetta,Holland,3:20,N,29870,1.36,-,
71,Saturday Jun 19,boxscore,BOS,@,KCR,W,7,1,,43-28,1,up 0.5,Perez,Keller,,2:59,D,24568,1.39,+,
72,Sunday Jun 20,boxscore,BOS,@,KCR,L,3,7,,43-29,1,up 0.5,Minor,Eovaldi,,3:35,D,20726,1.33,-,
73,Tuesday Jun 22,boxscore,BOS,@,TBR,W,9,5,11,44-29,1,up 1.5,Hernandez,Fairbanks,,4:21,N,12994,1.89,+,
74,Wednesday Jun 23,boxscore,BOS,@,TBR,L,2,8,,44-30,1,up 0.5,Hill,Richards,,3:31,N,9088,1.90,-,
75,Thursday Jun 24,boxscore,BOS,@,TBR,L-wo,0,1,,44-31,2,0.5,Feyereisen,Barnes,,3:02,N,10961,1.90,--,
76,Friday Jun 25,boxscore,BOS,,NYY,W,5,3,,45-31,2,0.5,Whitlock,German,Barnes,3:37,N,36869,1.65,+,
77,Saturday Jun 26,boxscore,BOS,,NYY,W,4,2,,46-31,2,0.5,Eovaldi,Montgomery,Ottavino,3:22,N,36857,1.66,++,
78,Sunday Jun 27,boxscore,BOS,,NYY,W,9,2,,47-31,1,up 0.5,Rodriguez,Cole,,3:09,D,34504,1.63,+++,
79,Monday Jun 28,boxscore,BOS,,KCR,W,6,5,,48-31,1,up 1.0,Sawamura,Staumont,Barnes,3:02,N,22766,1.39,++++,
80,Tuesday Jun 29,boxscore,BOS,,KCR,W,7,6,,49-31,1,up 2.0,Rios,Brentz,Barnes,3:31,N,25180,1.40,+++++,
81,Wednesday Jun 30,boxscore,BOS,,KCR,W,6,2,,50-31,1,up 3.0,Perez,Minor,,2:55,N,24616,1.36,++++++,
82,Thursday Jul 1,boxscore,BOS,,KCR,W,15,1,,51-31,1,up 3.5,Eovaldi,Bubic,,3:08,D,27913,1.32,+++++++,
83,Friday Jul 2,boxscore,BOS,@,OAK,W,3,2,10,52-31,1,up 4.5,Barnes,Trivino,Ottavino,3:04,N,32304,1.30,++++++++,
84,Saturday Jul 3,boxscore,BOS,@,OAK,L-wo,6,7,12,52-32,1,up 4.5,Wendelken,Andriese,,4:24,D,16297,1.25,-,
85,Sunday Jul 4,boxscore,BOS,@,OAK,W,1,0,,53-32,1,up 4.5,Pivetta,Kaprielian,Barnes,2:52,D,13070,1.30,+,
86,Monday Jul 5,boxscore,BOS,@,LAA,W,5,4,,54-32,1,up 4.5,Perez,Suarez,Ottavino,3:46,N,38201,1.18,++,
87,Tuesday Jul 6,boxscore,BOS,@,LAA,L,3,5,,54-33,1,up 4.0,Ohtani,Eovaldi,Iglesias,2:54,N,28689,1.07,-,
88,Wednesday Jul 7,boxscore,BOS,@,LAA,L,4,5,,54-34,1,up 2.5,Heaney,Rodriguez,Iglesias,2:55,D,20001,1.15,--,
89,Friday Jul 9,boxscore,BOS,,PHI,W,11,5,,55-34,1,up 2.5,Richards,Velasquez,,3:44,N,32641,1.24,+,
90,Saturday Jul 10,boxscore,BOS,,PHI,L,2,11,,55-35,1,up 1.5,Falter,Perez,,3:27,D,33202,1.17,-,
91,Sunday Jul 11,boxscore,BOS,,PHI,L,4,5,,55-36,1,up 1.5,Sanchez,Pivetta,Suarez,3:35,D,32586,1.30,--,
92,Friday Jul 16,boxscore,BOS,@,NYY,W,4,0,,56-36,1,up 1.5,Rodriguez,Montgomery,Houck,3:03,N,40130,1.53,+,
93,Saturday Jul 17,boxscore,BOS,@,NYY,L,1,3,6,56-37,1,up 1.5,Cole,Sawamura,,2:43,N,37095,1.40,-,
94,Sunday Jul 18,boxscore,BOS,@,NYY,L,1,9,,56-38,1,up 0.5,Taillon,Perez,,3:44,N,40309,1.48,--,
95,Monday Jul 19,boxscore,BOS,@,TOR,W,13,4,,57-38,1,up 1.5,Pivetta,Stripling,,3:32,N,12811,1.61,+,
96,Wednesday Jul 21,boxscore,BOS,@,TOR,W,7,4,,58-38,1,up 1.0,Richards,Ray,Barnes,2:54,N,14607,1.60,++,
97,Thursday Jul 22,boxscore,BOS,,NYY,W-wo,5,4,10,59-38,1,up 1.0,Barnes,Kriske,,3:48,N,34761,1.50,+++,
98,Friday Jul 23,boxscore,BOS,,NYY,W,6,2,,60-38,1,up 1.0,Rios,Cole,,3:26,N,34922,1.41,++++,
99,Saturday Jul 24,boxscore,BOS,,NYY,L,3,4,,60-39,1,Tied,Taillon,Ottavino,Chapman,3:02,D,35136,1.29,-,
100,Sunday Jul 25,boxscore,BOS,,NYY,W,5,4,,61-39,1,up 1.0,Workman,Loaisiga,Barnes,2:50,D,32009,1.37,+,
101,Monday Jul 26,boxscore,BOS,,TOR,W,5,4,,62-39,1,up 1.5,Ottavino,Richards,Barnes,3:17,N,27142,1.33,++,
102,Wednesday Jul 28 (1),boxscore,BOS,,TOR,L,1,4,7,62-40,1,up 2.5,Ray,Richards,Romano,2:36,D,27410,1.21,-,
103,Wednesday Jul 28 (2),boxscore,BOS,,TOR,W,4,1,7,63-40,1,up 2.5,Whitlock,Matz,Barnes,2:27,N,27783,1.32,+,
104,Thursday Jul 29,boxscore,BOS,,TOR,L,1,13,,63-41,1,up 1.5,Ryu,Rodriguez,,3:24,N,33191,1.24,-,
105,Friday Jul 30,boxscore,BOS,@,TBR,L,3,7,,63-42,1,up 0.5,Fleming,Perez,,3:11,N,11109,1.91,--,
106,Saturday Jul 31,boxscore,BOS,@,TBR,L,5,9,,63-43,2,0.5,Kittredge,Eovaldi,,3:34,N,20521,2.03,---,
107,Sunday Aug 1,boxscore,BOS,@,TBR,L,2,3,,63-44,2,1.5,McClanahan,Pivetta,Wisler,2:51,N,17816,2.12,----,
108,Tuesday Aug 3,boxscore,BOS,@,DET,L,2,4,,63-45,2,1.0,Funkhouser,Richards,Soto,3:24,N,15724,1.47,-----,
109,Wednesday Aug 4,boxscore,BOS,@,DET,W,4,1,,64-45,2,1.0,Rodriguez,Mize,Barnes,3:20,N,16633,1.53,+,
110,Thursday Aug 5,boxscore,BOS,@,DET,L,1,8,,64-46,2,1.5,Skubal,Perez,,3:14,D,19144,1.56,-,
111,Friday Aug 6,boxscore,BOS,@,TOR,L,4,12,,64-47,2,2.5,Manoah,Eovaldi,,3:34,N,14719,1.83,--,
112,Saturday Aug 7 (1),boxscore,BOS,@,TOR,L-wo,0,1,7,64-48,2,3.0,Romano,Barnes,,1:55,D,14768,1.84,---,
113,Saturday Aug 7 (2),boxscore,BOS,@,TOR,W,2,1,8,65-48,2,3.0,Barnes,Cimber,Ottavino,2:59,N,12659,1.91,+,
114,Sunday Aug 8,boxscore,BOS,@,TOR,L,8,9,,65-49,2,4.0,Dolis,Barnes,Romano,4:04,D,14766,1.83,-,
115,Tuesday Aug 10,boxscore,BOS,,TBR,L,4,8,,65-50,2,5.0,Kittredge,Barnes,,3:28,N,28356,2.12,--,
116,Wednesday Aug 11,boxscore,BOS,,TBR,W,20,8,,66-50,2,4.0,Eovaldi,Fleming,,3:17,N,30286,1.99,+,
117,Thursday Aug 12,boxscore,BOS,,TBR,L,1,8,,66-51,2,5.0,McHugh,Houck,,2:59,D,26803,2.17,-,
118,Friday Aug 13,boxscore,BOS,,BAL,W,8,1,,67-51,2,5.0,Pivetta,Watkins,Richards,3:05,N,28022,1.54,+,
119,Saturday Aug 14,boxscore,BOS,,BAL,W,16,2,,68-51,2,4.0,Sale,Lopez,,3:12,D,33118,1.54,++,
120,Sunday Aug 15,boxscore,BOS,,BAL,W,6,2,,69-51,2,3.0,Rodriguez,Akin,,3:07,D,28935,1.62,+++,
121,Tuesday Aug 17 (1),boxscore,BOS,@,NYY,L,3,5,7,69-52,2,5.0,Abreu,Whitlock,Loaisiga,2:56,D,39078,2.02,-,
122,Tuesday Aug 17 (2),boxscore,BOS,@,NYY,L,0,2,7,69-53,2,5.0,Peralta,Eovaldi,Green,2:31,N,35237,2.03,--,
123,Wednesday Aug 18,boxscore,BOS,@,NYY,L,2,5,,69-54,3,6.0,Heaney,Pivetta,Luetge,3:41,N,39166,1.94,---,
124,Friday Aug 20,boxscore,BOS,,TEX,W,6,0,,70-54,3,5.5,Sale,Dunning,,3:13,N,30012,1.45,+,
125,Saturday Aug 21,boxscore,BOS,,TEX,L,1,10,,70-55,3,6.5,Lyles,Rodriguez,,3:25,N,32495,1.56,-,
126,Monday Aug 23,boxscore,BOS,,TEX,W-wo,8,4,11,71-55,3,6.5,Whitlock,Santana,,3:44,D,27652,1.38,+,
127,Tuesday Aug 24,boxscore,BOS,,MIN,W,11,9,,72-55,3,6.5,Taylor,Jax,Robles,4:09,N,27986,1.46,++,
128,Wednesday Aug 25,boxscore,BOS,,MIN,L,6,9,10,72-56,3,7.5,Colome,Robles,,4:07,N,28923,1.44,-,
129,Thursday Aug 26,boxscore,BOS,,MIN,W,12,2,,73-56,3,7.0,Sale,Gant,,3:33,N,33746,1.31,+,
130,Friday Aug 27,boxscore,BOS,@,CLE,W,4,3,,74-56,3,7.0,Rodriguez,Karinchak,Ottavino,2:58,N,20881,1.31,++,
131,Saturday Aug 28,boxscore,BOS,@,CLE,W,5,3,10,75-56,3,7.0,Whitlock,Wittgren,Ottavino,3:59,D,26221,1.20,+++,
132,Sunday Aug 29,boxscore,BOS,@,CLE,L,5,7,,75-57,3,8.0,Shaw,Davis,Clase,3:22,D,22883,1.17,-,
133,Monday Aug 30,boxscore,BOS,@,TBR,L,1,6,,75-58,3,9.0,Patino,Pivetta,,3:20,N,6753,1.39,--,
134,Tuesday Aug 31,boxscore,BOS,@,TBR,L,5,8,,75-59,3,10.0,Yarbrough,Peacock,Kittredge,3:08,N,6868,1.34,---,
135,Wednesday Sep 1,boxscore,BOS,@,TBR,W,3,2,,76-59,3,9.0,Whitlock,Fairbanks,Ottavino,3:13,N,7808,1.34,+,
136,Thursday Sep 2,boxscore,BOS,@,TBR,W,4,0,,77-59,3,8.0,Rodriguez,McClanahan,Richards,2:55,N,7923,1.35,++,
137,Friday Sep 3,boxscore,BOS,,CLE,W,8,5,,78-59,3,8.0,Ottavino,Quantrill,Whitlock,3:09,N,31127,1.37,+++,
138,Saturday Sep 4,boxscore,BOS,,CLE,W-wo,4,3,,79-59,3,8.0,Ottavino,Shaw,,3:09,D,33081,1.25,++++,
139,Sunday Sep 5,boxscore,BOS,,CLE,L,5,11,,79-60,3,8.0,Plesac,Crawford,Clase,3:59,D,27578,1.16,-,
140,Monday Sep 6,boxscore,BOS,,TBR,L,10,11,10,79-61,3,9.0,McHugh,Whitlock,,4:54,D,26512,1.38,--,
141,Tuesday Sep 7,boxscore,BOS,,TBR,L,7,12,,79-62,3,10.0,Rasmussen,Rodriguez,,2:57,N,25065,1.36,---,
142,Wednesday Sep 8,boxscore,BOS,,TBR,W,2,1,,80-62,2,9.0,Richards,Chargois,Robles,2:46,N,26649,1.39,+,
143,Friday Sep 10,boxscore,BOS,@,CHW,L,3,4,,80-63,2,9.0,Rodon,Houck,Hendriks,3:48,N,34365,1.40,-,
144,Saturday Sep 11,boxscore,BOS,@,CHW,W,9,8,10,81-63,2,9.0,Whitlock,Wright,Taylor,4:12,N,37854,1.50,+,
145,Sunday Sep 12,boxscore,BOS,@,CHW,L-wo,1,2,,81-64,2,9.0,Kimbrel,Whitlock,,2:57,D,36178,1.46,-,
146,Monday Sep 13,boxscore,BOS,@,SEA,L,4,5,,81-65,3,9.0,Castillo,Brasier,Steckenrider,3:11,N,18219,1.76,--,
147,Tuesday Sep 14,boxscore,BOS,@,SEA,W,8,4,,82-65,2,9.0,Ottavino,Smith,,3:59,N,19887,1.93,+,
148,Wednesday Sep 15,boxscore,BOS,@,SEA,W,9,4,10,83-65,2,8.0,Ottavino,Swanson,,3:58,D,17860,1.82,++,
149,Friday Sep 17,boxscore,BOS,,BAL,W,7,1,,84-65,2,8.5,Sale,Akin,,3:27,N,29811,1.63,+++,
150,Saturday Sep 18,boxscore,BOS,,BAL,W,9,3,,85-65,2,7.5,Houck,Baumann,,3:09,D,30027,1.60,++++,
151,Sunday Sep 19,boxscore,BOS,,BAL,W,8,6,,86-65,2,6.5,Sawamura,Greene,Richards,2:55,D,27010,1.48,+++++,
152,Tuesday Sep 21,boxscore,BOS,,NYM,W,6,3,,87-65,2,6.0,Brasier,Stroman,,3:38,N,32146,1.30,++++++,
153,Wednesday Sep 22,boxscore,BOS,,NYM,W,12,5,,88-65,2,6.0,Sale,Walker,,3:42,N,30254,1.31,+++++++,
154,Friday Sep 24,boxscore,BOS,,NYY,L,3,8,,88-66,2,7.0,Cole,Eovaldi,,3:31,N,36026,1.21,-,
155,Saturday Sep 25,boxscore,BOS,,NYY,L,3,5,,88-67,2,8.0,Severino,Houck,Chapman,3:33,D,36103,1.73,--,
156,Sunday Sep 26,boxscore,BOS,,NYY,L,3,6,,88-68,3,9.0,Green,Richards,Chapman,3:42,N,36312,2.52,---,
157,Tuesday Sep 28,boxscore,BOS,@,BAL,L,2,4,,88-69,3,9.0,Diplan,Sale,Sulser,2:37,N,8098,2.66,----,
158,Wednesday Sep 29,boxscore,BOS,@,BAL,W,6,0,,89-69,3,9.0,Eovaldi,Lowther,,3:02,N,8732,2.67,+,
159,Thursday Sep 30,boxscore,BOS,@,BAL,L,2,6,,89-70,3,9.0,Wells,Pivetta,,2:40,N,13012,3.26,-,
160,Friday Oct 1,boxscore,BOS,@,WSN,W,4,2,,90-70,3,9.0,Rodriguez,Rogers,Robles,3:25,N,32521,3.14,+,
161,Saturday Oct 2,boxscore,BOS,@,WSN,W,5,3,,91-70,2,9.0,Davis,Rainey,Robles,3:53,D,41465,3.93,++,
162,Sunday Oct 3,boxscore,BOS,@,WSN,W,7,5,,92-70,2,8.0,Rodriguez,Finnegan,Pivetta,3:46,D,33986,4.21,+++,
